..\datos\GKD-b_10_n25_m7.txt;78.8779;1.8;
..\datos\GKD-b_11_n50_m5.txt;25.3851;5.4;
..\datos\GKD-b_12_n50_m5.txt;26.5515;5.6;
..\datos\GKD-b_13_n50_m5.txt;25.1493;5.3;
..\datos\GKD-b_14_n50_m5.txt;37.2861;5.1;
..\datos\GKD-b_15_n50_m5.txt;28.0476;5.5;
..\datos\GKD-b_16_n50_m15.txt;182.905;6.1;
..\datos\GKD-b_17_n50_m15.txt;187.291;6.8;
..\datos\GKD-b_18_n50_m15.txt;162.043;6.3;
..\datos\GKD-b_19_n50_m15.txt;160.589;6;
..\datos\GKD-b_1_n25_m2.txt;0;1.3;
..\datos\GKD-b_20_n50_m15.txt;149.072;5.9;
..\datos\GKD-b_21_n100_m10.txt;79.4898;20.8;
..\datos\GKD-b_22_n100_m10.txt;90.3288;20.7;
..\datos\GKD-b_23_n100_m10.txt;68.9124;20.8;
..\datos\GKD-b_24_n100_m10.txt;56.3157;21;
..\datos\GKD-b_25_n100_m10.txt;64.5165;21.2;
..\datos\GKD-b_26_n100_m30.txt;409.097;25.3;
..\datos\GKD-b_27_n100_m30.txt;383.122;24.2;
..\datos\GKD-b_28_n100_m30.txt;427.569;24.1;
..\datos\GKD-b_29_n100_m30.txt;326.242;25.6;
..\datos\GKD-b_2_n25_m2.txt;0;1.3;
..\datos\GKD-b_30_n100_m30.txt;378.217;23.7;
..\datos\GKD-b_31_n125_m12.txt;91.0639;33.9;
..\datos\GKD-b_32_n125_m12.txt;71.5299;34.6;
..\datos\GKD-b_33_n125_m12.txt;86.1189;34;
..\datos\GKD-b_34_n125_m12.txt;73.7969;32.6;
..\datos\GKD-b_35_n125_m12.txt;93.6831;34.6;
..\datos\GKD-b_36_n125_m37.txt;585.864;37.9;
..\datos\GKD-b_37_n125_m37.txt;495.123;38.5;
..\datos\GKD-b_38_n125_m37.txt;568.84;37.3;
..\datos\GKD-b_39_n125_m37.txt;506.988;37.5;
..\datos\GKD-b_3_n25_m2.txt;0;1.4;
..\datos\GKD-b_40_n125_m37.txt;427.711;39.1;
..\datos\GKD-b_41_n150_m15.txt;115.404;48.9;
..\datos\GKD-b_42_n150_m15.txt;128.187;48.1;
..\datos\GKD-b_43_n150_m15.txt;109.428;47.8;
..\datos\GKD-b_44_n150_m15.txt;136.555;48;
..\datos\GKD-b_45_n150_m15.txt;126.658;47.2;
..\datos\GKD-b_46_n150_m45.txt;657.928;55.6;
..\datos\GKD-b_47_n150_m45.txt;584.946;54.9;
..\datos\GKD-b_48_n150_m45.txt;631.48;55.7;
..\datos\GKD-b_49_n150_m45.txt;578.658;57.5;
..\datos\GKD-b_4_n25_m2.txt;0;1.3;
..\datos\GKD-b_50_n150_m45.txt;563.707;57.5;
..\datos\GKD-b_5_n25_m2.txt;0;1.5;
..\datos\GKD-b_6_n25_m7.txt;69.1205;1.6;
..\datos\GKD-b_7_n25_m7.txt;45.5274;1.6;
..\datos\GKD-b_8_n25_m7.txt;53.7245;1.4;
..\datos\GKD-b_9_n25_m7.txt;64.5842;1.5;
